time,filename,opd_retrieved,tip_retrieved,tilt_retrieved,y_center_retrieved,x_center_retrieved
1577954593.654718,psf_trial2_00004813.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954594.425040,psf_trial2_00004819.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954595.207373,psf_trial2_00004824.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954595.977835,psf_trial2_00004829.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954596.739425,psf_trial2_00004835.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954597.506072,psf_trial2_00004840.fits,1.027406,0.077674,3.011287,50.000000,50.000000
1577954598.387721,psf_trial2_00004845.fits,1.274028,-0.038176,-2.649446,50.000000,50.000000
1577954599.164349,psf_trial2_00004851.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954599.931921,psf_trial2_00004856.fits,1.512085,-0.042892,-1.742678,50.000000,50.000000
1577954600.697744,psf_trial2_00004862.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954601.470988,psf_trial2_00004867.fits,1.778520,0.063427,3.648166,50.000000,50.000000
1577954602.245570,psf_trial2_00004872.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954603.008151,psf_trial2_00004878.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954603.792447,psf_trial2_00004883.fits,-1.859109,1.688587,6.665559,50.000000,50.000000
1577954604.571334,psf_trial2_00004889.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954605.352634,psf_trial2_00004894.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954606.115856,psf_trial2_00004899.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954606.887823,psf_trial2_00004905.fits,-1.339005,0.051338,5.775866,50.000000,50.000000
1577954607.669806,psf_trial2_00004910.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954608.449552,psf_trial2_00004916.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954609.224183,psf_trial2_00004921.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954610.004771,psf_trial2_00004926.fits,-1.604386,-0.048037,-1.181091,50.000000,50.000000
1577954610.783754,psf_trial2_00004932.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954611.564630,psf_trial2_00004937.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954612.349941,psf_trial2_00004943.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954613.120539,psf_trial2_00004948.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954613.911098,psf_trial2_00004953.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
1577954614.677299,psf_trial2_00004959.fits,-1.104017,-0.025503,-2.735468,50.000000,50.000000
